exp,sample,dpi,synID,comID,syncom,strain,taxa,channel,cfu
e1,1,07dpi,C,Com01,C.01,meL85,Methylobacterium,C0,8.80E+06
e1,2,07dpi,C,Com01,C.01,meL85,Methylobacterium,C0,1.54E+07
e1,3,07dpi,C,Com01,C.01,meL85,Methylobacterium,C0,1.99E+07
e1,4,07dpi,C,Com01,C.01,meL85,Methylobacterium,C0,9.04E+06
e2,1,07dpi,C,Com01,C.01,meL85,Methylobacterium,C0,7.69E+05
e2,2,07dpi,C,Com01,C.01,meL85,Methylobacterium,C0,2.66E+06
e2,3,07dpi,C,Com01,C.01,meL85,Methylobacterium,C0,1.62E+06
e2,4,07dpi,C,Com01,C.01,meL85,Methylobacterium,C0,2.56E+06
e1,1,07dpi,C,Com01,C.01,meL85,Methylobacterium,C1,8.35E+06
e1,2,07dpi,C,Com01,C.01,meL85,Methylobacterium,C1,5.76E+06
e1,3,07dpi,C,Com01,C.01,meL85,Methylobacterium,C1,2.39E+07
e1,4,07dpi,C,Com01,C.01,meL85,Methylobacterium,C1,1.45E+07
e2,1,07dpi,C,Com01,C.01,meL85,Methylobacterium,C1,1.11E+06
e2,2,07dpi,C,Com01,C.01,meL85,Methylobacterium,C1,4.97E+06
e2,3,07dpi,C,Com01,C.01,meL85,Methylobacterium,C1,5.31E+06
e2,4,07dpi,C,Com01,C.01,meL85,Methylobacterium,C1,3.70E+06
e1,1,14dpi,C,Com01,C.01,meL85,Methylobacterium,C0,6.83E+06
e1,2,14dpi,C,Com01,C.01,meL85,Methylobacterium,C0,1.62E+07
e1,3,14dpi,C,Com01,C.01,meL85,Methylobacterium,C0,6.04E+06
e1,4,14dpi,C,Com01,C.01,meL85,Methylobacterium,C0,8.61E+06
e2,1,14dpi,C,Com01,C.01,meL85,Methylobacterium,C0,2.98E+07
e2,2,14dpi,C,Com01,C.01,meL85,Methylobacterium,C0,3.44E+07
e2,3,14dpi,C,Com01,C.01,meL85,Methylobacterium,C0,2.83E+07
e2,4,14dpi,C,Com01,C.01,meL85,Methylobacterium,C0,3.21E+07
e1,1,14dpi,C,Com01,C.01,meL85,Methylobacterium,C1,9.10E+06
e1,2,14dpi,C,Com01,C.01,meL85,Methylobacterium,C1,7.35E+06
e1,3,14dpi,C,Com01,C.01,meL85,Methylobacterium,C1,5.91E+06
e1,4,14dpi,C,Com01,C.01,meL85,Methylobacterium,C1,7.53E+06
e2,1,14dpi,C,Com01,C.01,meL85,Methylobacterium,C1,4.03E+07
e2,2,14dpi,C,Com01,C.01,meL85,Methylobacterium,C1,3.44E+07
e2,3,14dpi,C,Com01,C.01,meL85,Methylobacterium,C1,4.45E+07
e2,4,14dpi,C,Com01,C.01,meL85,Methylobacterium,C1,3.60E+07
e1,1,07dpi,S2,Com02,S2.02,meL85,Methylobacterium,C0,1.55E+06
e1,2,07dpi,S2,Com02,S2.02,meL85,Methylobacterium,C0,2.33E+06
e1,3,07dpi,S2,Com02,S2.02,meL85,Methylobacterium,C0,2.36E+06
e1,4,07dpi,S2,Com02,S2.02,meL85,Methylobacterium,C0,1.79E+06
e2,1,07dpi,S2,Com02,S2.02,meL85,Methylobacterium,C0,1.63E+06
e2,2,07dpi,S2,Com02,S2.02,meL85,Methylobacterium,C0,1.49E+06
e2,3,07dpi,S2,Com02,S2.02,meL85,Methylobacterium,C0,5.73E+06
e2,4,07dpi,S2,Com02,S2.02,meL85,Methylobacterium,C0,1.83E+07
e1,1,14dpi,S2,Com02,S2.02,meL85,Methylobacterium,C0,3.12E+06
