exp,dpi,synID,comID,syncom,strain,channel
e1,07dpi,C,Com01,C.01,meL85,C0
e1,07dpi,C,Com01,C.01,meL85,C1
e1,14dpi,C,Com01,C.01,meL85,C0
e1,14dpi,C,Com01,C.01,meL85,C1
e2,07dpi,C,Com01,C.01,meL85,C0
e2,07dpi,C,Com01,C.01,meL85,C1
e2,14dpi,C,Com01,C.01,meL85,C0
e2,14dpi,C,Com01,C.01,meL85,C1
e1,07dpi,C,Com04,C.04,meL92,C0
e1,07dpi,C,Com04,C.04,meL92,C1
e1,14dpi,C,Com04,C.04,meL92,C0
e1,14dpi,C,Com04,C.04,meL92,C1
e2,07dpi,C,Com04,C.04,meL92,C0
e2,07dpi,C,Com04,C.04,meL92,C1
e2,14dpi,C,Com04,C.04,meL92,C0
e2,14dpi,C,Com04,C.04,meL92,C1
e1,07dpi,C,Com07,C.07,mr01,C0
e1,07dpi,C,Com07,C.07,mr01,C1
e1,14dpi,C,Com07,C.07,mr01,C0
e1,14dpi,C,Com07,C.07,mr01,C1
e2,07dpi,C,Com07,C.07,mr01,C0
e2,07dpi,C,Com07,C.07,mr01,C1
e2,14dpi,C,Com07,C.07,mr01,C0
e2,14dpi,C,Com07,C.07,mr01,C1
e1,07dpi,C,Com10,C.10,smfr1,C0
e1,07dpi,C,Com10,C.10,smfr1,C1
e1,14dpi,C,Com10,C.10,smfr1,C0
e1,14dpi,C,Com10,C.10,smfr1,C1
e2,07dpi,C,Com10,C.10,smfr1,C0
e2,07dpi,C,Com10,C.10,smfr1,C1
e2,14dpi,C,Com10,C.10,smfr1,C0
e2,14dpi,C,Com10,C.10,smfr1,C1
e1,07dpi,C,Com13,C.13,spfa2,C0
e1,07dpi,C,Com13,C.13,spfa2,C1
e1,14dpi,C,Com13,C.13,spfa2,C0
e1,14dpi,C,Com13,C.13,spfa2,C1
e2,07dpi,C,Com13,C.13,spfa2,C0
e2,07dpi,C,Com13,C.13,spfa2,C1
e2,14dpi,C,Com13,C.13,spfa2,C0
e2,14dpi,C,Com13,C.13,spfa2,C1
e1,07dpi,S2,Com02,S2.02,meL85,C0
e1,07dpi,S2,Com02,S2.02,mr01,C1
e1,14dpi,S2,Com02,S2.02,meL85,C0
e1,14dpi,S2,Com02,S2.02,mr01,C1
e2,07dpi,S2,Com02,S2.02,meL85,C0
e2,07dpi,S2,Com02,S2.02,mr01,C1
e2,14dpi,S2,Com02,S2.02,meL85,C0
e2,14dpi,S2,Com02,S2.02,mr01,C1
e1,07dpi,S2,Com03,S2.03,meL85,C0
e1,07dpi,S2,Com03,S2.03,meL92,C1
e1,14dpi,S2,Com03,S2.03,meL85,C0
e1,14dpi,S2,Com03,S2.03,meL92,C1
e2,07dpi,S2,Com03,S2.03,meL85,C0
e2,07dpi,S2,Com03,S2.03,meL92,C1
e2,14dpi,S2,Com03,S2.03,meL85,C0
e2,14dpi,S2,Com03,S2.03,meL92,C1
e1,07dpi,S2,Com05,S2.05,meL92,C0
e1,07dpi,S2,Com05,S2.05,mr01,C1
e1,14dpi,S2,Com05,S2.05,meL92,C0
e1,14dpi,S2,Com05,S2.05,mr01,C1
e2,07dpi,S2,Com05,S2.05,meL92,C0
e2,07dpi,S2,Com05,S2.05,mr01,C1
e2,14dpi,S2,Com05,S2.05,meL92,C0
e2,14dpi,S2,Com05,S2.05,mr01,C1
e1,07dpi,S2,Com06,S2.06,meL92,C0
e1,07dpi,S2,Com06,S2.06,smfr1,C1
e1,14dpi,S2,Com06,S2.06,meL92,C0
e1,14dpi,S2,Com06,S2.06,smfr1,C1
e2,07dpi,S2,Com06,S2.06,meL92,C1
e2,07dpi,S2,Com06,S2.06,smfr1,C0
e2,14dpi,S2,Com06,S2.06,meL92,C1
e2,14dpi,S2,Com06,S2.06,smfr1,C0
e1,07dpi,S2,Com08,S2.08,meL85,C0
e1,07dpi,S2,Com08,S2.08,smfr1,C1
e1,14dpi,S2,Com08,S2.08,meL85,C0
e1,14dpi,S2,Com08,S2.08,smfr1,C1
e2,07dpi,S2,Com08,S2.08,meL85,C0
e2,07dpi,S2,Com08,S2.08,smfr1,C1
e1,07dpi,S2,Com09,S2.09,mr01,C0
e1,07dpi,S2,Com09,S2.09,smfr1,C1
e1,14dpi,S2,Com09,S2.09,mr01,C0
e1,14dpi,S2,Com09,S2.09,smfr1,C1
e2,07dpi,S2,Com09,S2.09,mr01,C0
e2,07dpi,S2,Com09,S2.09,smfr1,C1
e1,07dpi,S2,Com11,S2.11,spfa2,C0
e1,07dpi,S2,Com11,S2.11,smfr1,C1
e1,14dpi,S2,Com11,S2.11,spfa2,C0
e1,14dpi,S2,Com11,S2.11,smfr1,C1
e2,07dpi,S2,Com11,S2.11,spfa2,C0
e2,07dpi,S2,Com11,S2.11,smfr1,C1
e1,07dpi,S2,Com12,S2.12,meL85,C0
e1,07dpi,S2,Com12,S2.12,spfa2,C1
