"exp","dpi","synID","comID","syncom","strain","rep","channel","nFOV","cell","cm2","cell_density","logCell"
"e1","07dpi","C","Com01","C.01","meL85",1,"C0",25,3741,0.0031309964,1194827.30800968,6.07730513993007
"e1","07dpi","C","Com01","C.01","meL85",1,"C1",25,31020,0.0031309964,9907389.22599847,6.99595922520945
"e1","07dpi","C","Com01","C.01","meL85",2,"C0",66,19286,0.008265830496,2333219.87540549,6.36795566728745
"e1","07dpi","C","Com01","C.01","meL85",2,"C1",66,15301,0.008265830496,1851114.65900546,6.26743332001231
"e1","07dpi","C","Com01","C.01","meL85",3,"C0",90,6505,0.01127158704,577114.826591447,5.76126223186218
"e1","07dpi","C","Com01","C.01","meL85",3,"C1",90,24259,0.01127158704,2152225.76145763,6.3328878254575
"e1","07dpi","C","Com04","C.04","meL92",1,"C0",55,17536,0.00688819208,2545805.89454178,6.40582528771393
"e1","07dpi","C","Com04","C.04","meL92",1,"C1",55,9893,0.00688819208,1436225.91894969,6.15722275998707
"e1","07dpi","C","Com04","C.04","meL92",2,"C0",101,10019,0.012649225456,792064.307403709,5.89876044322687
"e1","07dpi","C","Com04","C.04","meL92",2,"C1",101,14732,0.012649225456,1164656.29071479,6.06619777680414
"e1","07dpi","C","Com04","C.04","meL92",3,"C0",148,8952,0.018535498688,482965.155169825,5.68391579852924
"e1","07dpi","C","Com04","C.04","meL92",3,"C1",148,9148,0.018535498688,493539.459282122,5.69332188094366
"e1","07dpi","C","Com04","C.04","meL92",4,"C0",203,7363,0.025423690768,289611.766725372,5.46181620296739
"e1","07dpi","C","Com04","C.04","meL92",4,"C1",203,11026,0.025423690768,433689.982332466,5.63717939063394
"e1","07dpi","C","Com07","C.07","mr01",1,"C0",90,32090,0.01127158704,2846981.51964943,6.45438464806008
"e1","07dpi","C","Com07","C.07","mr01",1,"C1",90,23661,0.01127158704,2099172.00799081,6.32204802651027
"e1","07dpi","C","Com07","C.07","mr01",2,"C0",142,25718,0.017784059552,1446126.51148639,6.16020628800489
"e1","07dpi","C","Com07","C.07","mr01",2,"C1",142,21188,0.017784059552,1191404.01762865,6.07605906028441
"e1","07dpi","C","Com07","C.07","mr01",3,"C0",224,12205,0.028053727744,435058.046879718,5.63854720582295
"e1","07dpi","C","Com07","C.07","mr01",3,"C1",224,5335,0.028053727744,190170.805416083,5.27914384583023
"e1","07dpi","C","Com07","C.07","mr01",4,"C0",296,14805,0.037070997376,399368.807098372,5.60137414107028
"e1","07dpi","C","Com07","C.07","mr01",4,"C1",296,7503,0.037070997376,202395.417741242,5.30620067579513
"e1","07dpi","C","Com10","C.10","smfr1",1,"C0",47,15160,0.005886273232,2575483.57041677,6.41085878376422
"e1","07dpi","C","Com10","C.10","smfr1",1,"C1",47,7513,0.005886273232,1276359.37101195,6.10597297130794
"e1","07dpi","C","Com10","C.10","smfr1",2,"C0",99,14377,0.012398745744,1159552.77225983,6.06429051854512
"e1","07dpi","C","Com10","C.10","smfr1",2,"C1",99,4818,0.012398745744,388587.692616532,5.58948904146868
"e1","07dpi","C","Com10","C.10","smfr1",3,"C0",149,2643,0.018660738544,141634.2656411,5.15116833512334
"e1","07dpi","C","Com10","C.10","smfr1",3,"C1",149,3370,0.018660738544,180593.066670641,5.25670107286297
"e1","07dpi","C","Com10","C.10","smfr1",4,"C0",192,3675,0.024046052352,152831.739123047,5.18421355512057
"e1","07dpi","C","Com10","C.10","smfr1",4,"C1",192,4270,0.024046052352,177575.925457255,5.24938408672538
"e1","07dpi","C","Com13","C.13","spfa2",1,"C0",53,6713,0.006637712368,1011342.40651387,6.00489821798803
"e1","07dpi","C","Com13","C.13","spfa2",1,"C1",53,5749,0.006637712368,866111.64830154,5.93757387944909
"e1","07dpi","C","Com13","C.13","spfa2",2,"C0",99,13547,0.012398745744,1092610.51720136,6.03846537661105
"e1","07dpi","C","Com13","C.13","spfa2",2,"C1",99,8787,0.012398745744,708700.717106987,5.85046287220761
"e1","07dpi","C","Com13","C.13","spfa2",3,"C0",154,2883,0.019286937824,149479.405507934,5.17458136195565
"e1","07dpi","C","Com13","C.13","spfa2",3,"C1",154,2744,0.019286937824,142272.455329091,5.15312082660215
"e1","07dpi","C","Com13","C.13","spfa2",4,"C0",210,4333,0.02630036976,164750.535431255,5.21682683470436
"e1","07dpi","C","Com13","C.13","spfa2",4,"C1",210,4356,0.02630036976,165625.047851038,5.21912601675372
"e1","07dpi","S2","Com02","S2.02","meL85",1,"C0",64,3177,0.008015350784,396364.436892997,5.59809468124716
"e1","07dpi","S2","Com02","S2.02","meL85",2,"C0",156,14099,0.019537417536,721640.921786154,5.85832115258545
"e1","07dpi","S2","Com02","S2.02","meL85",3,"C0",203,453,0.025423690768,17818.0266639404,4.25085960450352
