"dpi","synID","comID","syncom","strain","channel","mean","sd","cv"
"07dpi","C","Com01","C.01","meL85","C0",6.21863723811224,0.300112800857814,4.82602199431266
"07dpi","C","Com01","C.01","meL85","C1",6.06983228940825,1.46290966355031,24.1013193412784
"07dpi","C","Com04","C.04","meL92","C0",6.216286852522,0.152584126680987,2.45458631979124
"07dpi","C","Com04","C.04","meL92","C1",6.24019563908702,0.113465108673079,1.81829409261405
"07dpi","C","Com07","C.07","mr01","C0",6.33797863241909,0.230262809138637,3.63306382828164
"07dpi","C","Com07","C.07","mr01","C1",6.12448084678796,0.355285607807478,5.80107304921707
"07dpi","C","Com10","C.10","smfr1","C0",5.9969721511683,0.336340762212845,5.60850965678272
"07dpi","C","Com10","C.10","smfr1","C1",6.04401222679737,0.315758178543065,5.22431402675009
"07dpi","C","Com13","C.13","spfa2","C0",6.34359779470808,0.487787082506705,7.6894389949127
"07dpi","C","Com13","C.13","spfa2","C1",6.10026348411596,0.400259083389459,6.56134090653075
"07dpi","S2","Com02","S2.02","meL85","C0",5.71663267040006,0.453633559559604,7.93532811559604
"07dpi","S2","Com02","S2.02","mr01","C1",6.39996496060431,0.1964042020936,3.06883245928045
"07dpi","S2","Com03","S2.03","meL85","C0",5.65156627842363,0.559529056914813,9.90042457877499
"07dpi","S2","Com03","S2.03","meL92","C1",5.79443871677012,0.81141639291686,14.0033648223508
"07dpi","S2","Com05","S2.05","meL92","C0",6.16321933784753,0.223123621379124,3.62024469921022
"07dpi","S2","Com05","S2.05","mr01","C1",6.33435055337736,0.286576075154563,4.52415875534022
"07dpi","S2","Com06","S2.06","meL92","C0",6.16201946168701,0.533810370894043,8.66291277093596
"07dpi","S2","Com06","S2.06","meL92","C1",6.03774060273763,0.446328543395239,7.39231067980736
"07dpi","S2","Com06","S2.06","smfr1","C0",5.47458629029099,0.253354825592772,4.62783509398854
"07dpi","S2","Com06","S2.06","smfr1","C1",6.18518083135991,0.277981114370672,4.49430860551821
"07dpi","S2","Com08","S2.08","meL85","C0",6.14098944543482,0.49383980536148,8.04169767346853
"07dpi","S2","Com08","S2.08","smfr1","C1",6.30725861346137,0.257177691821085,4.07748766274146
"07dpi","S2","Com09","S2.09","mr01","C0",6.55664998410511,0.231755067644129,3.53465669520195
"07dpi","S2","Com09","S2.09","smfr1","C1",6.11474254798555,0.443709294825478,7.25638555251447
"07dpi","S2","Com11","S2.11","smfr1","C1",6.0830194502905,0.190123801346192,3.12548402811883
"07dpi","S2","Com11","S2.11","spfa2","C0",6.19884807525437,0.376905404256807,6.08024909920607
"07dpi","S2","Com12","S2.12","meL85","C0",6.03600162716334,0.596851754207571,9.88819737094844
