"exp","sample","dpi","synID","comID","syncom","strain","taxa","channel","cfu","cfu_log"
"e1","1","07dpi","C","Com01","C.01","meL85","Methylobacterium","C0",8800000,6.94448267215017
"e1","2","07dpi","C","Com01","C.01","meL85","Methylobacterium","C0",15400000,7.18752072083646
"e1","3","07dpi","C","Com01","C.01","meL85","Methylobacterium","C0",19900000,7.29885307640971
"e1","4","07dpi","C","Com01","C.01","meL85","Methylobacterium","C0",9040000,6.95616843047536
"e2","1","07dpi","C","Com01","C.01","meL85","Methylobacterium","C0",769000,5.88592633980143
"e2","2","07dpi","C","Com01","C.01","meL85","Methylobacterium","C0",2660000,6.42488163663107
"e2","3","07dpi","C","Com01","C.01","meL85","Methylobacterium","C0",1620000,6.20951501454263
"e2","4","07dpi","C","Com01","C.01","meL85","Methylobacterium","C0",2560000,6.40823996531185
"e1","1","07dpi","C","Com01","C.01","meL85","Methylobacterium","C1",8350000,6.9216864754836
"e1","2","07dpi","C","Com01","C.01","meL85","Methylobacterium","C1",5760000,6.76042248342321
"e1","3","07dpi","C","Com01","C.01","meL85","Methylobacterium","C1",23900000,7.37839790094814
"e1","4","07dpi","C","Com01","C.01","meL85","Methylobacterium","C1",14500000,7.16136800223498
"e2","1","07dpi","C","Com01","C.01","meL85","Methylobacterium","C1",1110000,6.04532297878666
"e2","2","07dpi","C","Com01","C.01","meL85","Methylobacterium","C1",4970000,6.69635638873333
"e2","3","07dpi","C","Com01","C.01","meL85","Methylobacterium","C1",5310000,6.72509452108147
"e2","4","07dpi","C","Com01","C.01","meL85","Methylobacterium","C1",3700000,6.568201724067
"e1","1","14dpi","C","Com01","C.01","meL85","Methylobacterium","C0",6830000,6.83442070368153
"e1","2","14dpi","C","Com01","C.01","meL85","Methylobacterium","C0",16200000,7.20951501454263
"e1","3","14dpi","C","Com01","C.01","meL85","Methylobacterium","C0",6040000,6.78103693862113
"e1","4","14dpi","C","Com01","C.01","meL85","Methylobacterium","C0",8610000,6.93500315145365
"e2","1","14dpi","C","Com01","C.01","meL85","Methylobacterium","C0",29800000,7.47421626407626
"e2","2","14dpi","C","Com01","C.01","meL85","Methylobacterium","C0",34400000,7.53655844257153
"e2","3","14dpi","C","Com01","C.01","meL85","Methylobacterium","C0",28300000,7.45178643552429
"e2","4","14dpi","C","Com01","C.01","meL85","Methylobacterium","C0",32100000,7.50650503240487
"e1","1","14dpi","C","Com01","C.01","meL85","Methylobacterium","C1",9100000,6.95904139232109
"e1","2","14dpi","C","Com01","C.01","meL85","Methylobacterium","C1",7350000,6.8662873390842
"e1","3","14dpi","C","Com01","C.01","meL85","Methylobacterium","C1",5910000,6.77158748088126
"e1","4","14dpi","C","Com01","C.01","meL85","Methylobacterium","C1",7530000,6.8767949762007
"e2","1","14dpi","C","Com01","C.01","meL85","Methylobacterium","C1",40300000,7.60530504614111
"e2","2","14dpi","C","Com01","C.01","meL85","Methylobacterium","C1",34400000,7.53655844257153
"e2","3","14dpi","C","Com01","C.01","meL85","Methylobacterium","C1",44500000,7.64836001098093
"e2","4","14dpi","C","Com01","C.01","meL85","Methylobacterium","C1",36000000,7.55630250076729
"e1","1","07dpi","S2","Com02","S2.02","meL85","Methylobacterium","C0",1550000,6.19033169817029
"e1","2","07dpi","S2","Com02","S2.02","meL85","Methylobacterium","C0",2330000,6.36735592102602
"e1","3","07dpi","S2","Com02","S2.02","meL85","Methylobacterium","C0",2360000,6.37291200297011
"e1","4","07dpi","S2","Com02","S2.02","meL85","Methylobacterium","C0",1790000,6.25285303097989
"e2","1","07dpi","S2","Com02","S2.02","meL85","Methylobacterium","C0",1630000,6.21218760440396
"e2","2","07dpi","S2","Com02","S2.02","meL85","Methylobacterium","C0",1490000,6.17318626841227
"e2","3","07dpi","S2","Com02","S2.02","meL85","Methylobacterium","C0",5730000,6.75815462196739
"e2","4","07dpi","S2","Com02","S2.02","meL85","Methylobacterium","C0",18300000,7.26245108973043
"e1","1","14dpi","S2","Com02","S2.02","meL85","Methylobacterium","C0",3120000,6.49415459401844
"e1","2","14dpi","S2","Com02","S2.02","meL85","Methylobacterium","C0",2480000,6.39445168082622
"e1","3","14dpi","S2","Com02","S2.02","meL85","Methylobacterium","C0",3800000,6.57978359661681
"e1","4","14dpi","S2","Com02","S2.02","meL85","Methylobacterium","C0",2960000,6.47129171105894
"e2","1","14dpi","S2","Com02","S2.02","meL85","Methylobacterium","C0",9840000,6.99299509843134
"e2","2","14dpi","S2","Com02","S2.02","meL85","Methylobacterium","C0",7380000,6.86805636182304
"e2","3","14dpi","S2","Com02","S2.02","meL85","Methylobacterium","C0",6050000,6.78175537465247
"e2","4","14dpi","S2","Com02","S2.02","meL85","Methylobacterium","C0",5610000,6.74896286125616
"e1","1","07dpi","S2","Com03","S2.03","meL85","Methylobacterium","C0",8240000,6.91592721169712
"e1","2","07dpi","S2","Com03","S2.03","meL85","Methylobacterium","C0",10300000,7.01283722470517
"e1","3","07dpi","S2","Com03","S2.03","meL85","Methylobacterium","C0",13600000,7.13353890837022
"e1","4","07dpi","S2","Com03","S2.03","meL85","Methylobacterium","C0",10100000,7.00432137378264
"e2","1","07dpi","S2","Com03","S2.03","meL85","Methylobacterium","C0",221000,5.34439227368511
"e2","2","07dpi","S2","Com03","S2.03","meL85","Methylobacterium","C0",1720000,6.23552844690755
"e2","3","07dpi","S2","Com03","S2.03","meL85","Methylobacterium","C0",152000,5.18184358794477
"e2","4","07dpi","S2","Com03","S2.03","meL85","Methylobacterium","C0",395000,5.59659709562646
"e1","1","14dpi","S2","Com03","S2.03","meL85","Methylobacterium","C0",3160000,6.4996870826184
"e1","2","14dpi","S2","Com03","S2.03","meL85","Methylobacterium","C0",3980000,6.59988307207369
"e1","3","14dpi","S2","Com03","S2.03","meL85","Methylobacterium","C0",7540000,6.87737134586977
"e1","4","14dpi","S2","Com03","S2.03","meL85","Methylobacterium","C0",2840000,6.45331834004704
"e2","1","14dpi","S2","Com03","S2.03","meL85","Methylobacterium","C0",11700000,7.06818586174616
"e2","2","14dpi","S2","Com03","S2.03","meL85","Methylobacterium","C0",8390000,6.9237619608287
"e2","3","14dpi","S2","Com03","S2.03","meL85","Methylobacterium","C0",3180000,6.50242711998443
"e2","4","14dpi","S2","Com03","S2.03","meL85","Methylobacterium","C0",5960000,6.77524625974024
"e1","1","07dpi","S2","Com08","S2.08","meL85","Methylobacterium","C0",17500000,7.2430380486863
"e1","2","07dpi","S2","Com08","S2.08","meL85","Methylobacterium","C0",15800000,7.19865708695442
"e1","3","07dpi","S2","Com08","S2.08","meL85","Methylobacterium","C0",2160000,6.33445375115093
"e1","4","07dpi","S2","Com08","S2.08","meL85","Methylobacterium","C0",8610000,6.93500315145365
"e2","1","07dpi","S2","Com08","S2.08","meL85","Methylobacterium","C0",6170000,6.79028516403324
"e2","2","07dpi","S2","Com08","S2.08","meL85","Methylobacterium","C0",8310000,6.91960102378411
"e2","3","07dpi","S2","Com08","S2.08","meL85","Methylobacterium","C0",9780000,6.9903388547876
"e2","4","07dpi","S2","Com08","S2.08","meL85","Methylobacterium","C0",12500000,7.09691001300806
"e1","1","14dpi","S2","Com08","S2.08","meL85","Methylobacterium","C0",27900000,7.4456042032736
"e1","2","14dpi","S2","Com08","S2.08","meL85","Methylobacterium","C0",20500000,7.31175386105575
"e1","3","14dpi","S2","Com08","S2.08","meL85","Methylobacterium","C0",23000000,7.36172783601759
"e1","4","14dpi","S2","Com08","S2.08","meL85","Methylobacterium","C0",10900000,7.03742649794062
"e1","1","07dpi","S2","Com12","S2.12","meL85","Methylobacterium","C0",13000000,7.11394335230684
"e1","2","07dpi","S2","Com12","S2.12","meL85","Methylobacterium","C0",3950000,6.59659709562646
"e1","3","07dpi","S2","Com12","S2.12","meL85","Methylobacterium","C0",9910000,6.99607365448528
"e1","4","07dpi","S2","Com12","S2.12","meL85","Methylobacterium","C0",16100000,7.20682587603185
"e2","1","07dpi","S2","Com12","S2.12","meL85","Methylobacterium","C0",5510000,6.74115159885179
"e2","2","07dpi","S2","Com12","S2.12","meL85","Methylobacterium","C0",9680000,6.98587535730839
"e2","3","07dpi","S2","Com12","S2.12","meL85","Methylobacterium","C0",6060000,6.78247262416629
"e2","4","07dpi","S2","Com12","S2.12","meL85","Methylobacterium","C0",1050000,6.02118929906994
"e1","1","14dpi","S2","Com12","S2.12","meL85","Methylobacterium","C0",87000000,7.93951925261862
"e1","2","14dpi","S2","Com12","S2.12","meL85","Methylobacterium","C0",70400000,7.84757265914211
"e1","3","14dpi","S2","Com12","S2.12","meL85","Methylobacterium","C0",29200000,7.46538285144842
"e1","4","14dpi","S2","Com12","S2.12","meL85","Methylobacterium","C0",49300000,7.69284691927723
"e1","1","07dpi","S2","Com03","S2.03","meL92","Methylobacterium","C1",8370000,6.92272545799326
"e1","2","07dpi","S2","Com03","S2.03","meL92","Methylobacterium","C1",17200000,7.23552844690755
"e1","3","07dpi","S2","Com03","S2.03","meL92","Methylobacterium","C1",13000000,7.11394335230684
"e1","4","07dpi","S2","Com03","S2.03","meL92","Methylobacterium","C1",10100000,7.00432137378264
"e2","1","07dpi","S2","Com03","S2.03","meL92","Methylobacterium","C1",8850000,6.94694327069783
"e2","2","07dpi","S2","Com03","S2.03","meL92","Methylobacterium","C1",9470000,6.97634997900327
"e2","3","07dpi","S2","Com03","S2.03","meL92","Methylobacterium","C1",6830000,6.83442070368153
"e2","4","07dpi","S2","Com03","S2.03","meL92","Methylobacterium","C1",10700000,7.02938377768521
"e1","1","14dpi","S2","Com03","S2.03","meL92","Methylobacterium","C1",1520000,6.18184358794477
"e1","2","14dpi","S2","Com03","S2.03","meL92","Methylobacterium","C1",4640000,6.66651798055488
"e1","3","14dpi","S2","Com03","S2.03","meL92","Methylobacterium","C1",5030000,6.70156798505593
"e1","4","14dpi","S2","Com03","S2.03","meL92","Methylobacterium","C1",3400000,6.53147891704226
"e2","1","14dpi","S2","Com03","S2.03","meL92","Methylobacterium","C1",251000000,8.39967372148104
"e2","2","14dpi","S2","Com03","S2.03","meL92","Methylobacterium","C1",168000000,8.22530928172586
