"exp","synID","comID","taxa","dpi","sample","cfu_total","log_total"
"e1","C","Com01","Methylobacterium","07dpi","1",17150000,7.23426412437879
"e1","C","Com01","Methylobacterium","07dpi","2",21160000,7.32551566336315
"e1","C","Com01","Methylobacterium","07dpi","3",43800000,7.6414741105041
"e1","C","Com01","Methylobacterium","07dpi","4",23540000,7.37180645850742
"e1","C","Com01","Methylobacterium","14dpi","1",15930000,7.20221577580113
"e1","C","Com01","Methylobacterium","14dpi","2",23550000,7.37199091146492
"e1","C","Com01","Methylobacterium","14dpi","3",11950000,7.07736790528416
"e1","C","Com01","Methylobacterium","14dpi","4",16140000,7.20790353038605
"e1","C","Com04","Methylobacterium","07dpi","1",48200000,7.68304703823885
"e1","C","Com04","Methylobacterium","07dpi","2",55300000,7.7427251313047
"e1","C","Com04","Methylobacterium","07dpi","3",26200000,7.41830129131975
"e1","C","Com04","Methylobacterium","07dpi","4",7070000,6.8494194137969
"e1","C","Com04","Methylobacterium","14dpi","1",3271000,6.51468054412498
"e1","C","Com04","Methylobacterium","14dpi","2",10010000,7.00043407747932
"e1","C","Com04","Methylobacterium","14dpi","3",4950000,6.69460519893357
"e1","C","Com04","Methylobacterium","14dpi","4",15330000,7.18554215485438
"e1","C","Com07","Methylobacterium","07dpi","1",43600000,7.63948648926859
"e1","C","Com07","Methylobacterium","07dpi","2",12500000,7.09691001300806
"e1","C","Com07","Methylobacterium","07dpi","3",998000,5.99913054128737
"e1","C","Com07","Methylobacterium","07dpi","4",21120000,7.32469391386177
"e1","C","Com07","Methylobacterium","14dpi","1",94700000,7.97634997900327
"e1","C","Com07","Methylobacterium","14dpi","2",63900000,7.8055008581584
"e1","C","Com07","Methylobacterium","14dpi","3",26400000,7.42160392686983
"e1","C","Com07","Methylobacterium","14dpi","4",3.4e+07,7.53147891704226
"e1","C","Com10","Sphingomonas","07dpi","1",51010000,7.70765532353119
"e1","C","Com10","Sphingomonas","07dpi","2",62830000,7.79816705971594
"e1","C","Com10","Sphingomonas","07dpi","3",27320000,7.4364806950095
"e1","C","Com10","Sphingomonas","07dpi","4",45120000,7.65436909097529
"e1","C","Com10","Sphingomonas","14dpi","1",21296000,7.3282980381306
"e1","C","Com10","Sphingomonas","14dpi","2",48760000,7.68806369694634
"e1","C","Com10","Sphingomonas","14dpi","3",26721000,7.42685270703537
"e1","C","Com10","Sphingomonas","14dpi","4",16153800,7.20827470158393
"e1","C","Com13","Sphingomonas","07dpi","1",46200000,7.66464197555613
"e1","C","Com13","Sphingomonas","07dpi","2",39900000,7.60097289568675
"e1","C","Com13","Sphingomonas","07dpi","3",52500000,7.72015930340596
"e1","C","Com13","Sphingomonas","07dpi","4",43400000,7.63748972951251
"e1","C","Com13","Sphingomonas","14dpi","1",94800000,7.97680833733807
"e1","C","Com13","Sphingomonas","14dpi","2",73400000,7.86569605991607
"e1","C","Com13","Sphingomonas","14dpi","3",2.98e+08,8.47421626407625
"e1","C","Com13","Sphingomonas","14dpi","4",219400000,8.34123662323869
"e1","S2","Com02","Methylobacterium","07dpi","1",22950000,7.36078268987328
"e1","S2","Com02","Methylobacterium","07dpi","2",37230000,7.57089303621839
"e1","S2","Com02","Methylobacterium","07dpi","3",25960000,7.41430468812833
"e1","S2","Com02","Methylobacterium","07dpi","4",47290000,7.67476931401543
"e1","S2","Com02","Methylobacterium","14dpi","1",91820000,7.96293728843
"e1","S2","Com02","Methylobacterium","14dpi","2",75380000,7.87725613311359
"e1","S2","Com02","Methylobacterium","14dpi","3",57600000,7.76042248342321
"e1","S2","Com02","Methylobacterium","14dpi","4",74060000,7.86958370771342
"e1","S2","Com03","Methylobacterium","07dpi","1",16610000,7.22036963245139
"e1","S2","Com03","Methylobacterium","07dpi","2",27500000,7.43933269383026
"e1","S2","Com03","Methylobacterium","07dpi","3",26600000,7.42488163663107
"e1","S2","Com03","Methylobacterium","07dpi","4",20200000,7.30535136944662
"e1","S2","Com03","Methylobacterium","14dpi","1",4680000,6.67024585307412
"e1","S2","Com03","Methylobacterium","14dpi","2",8620000,6.93550726582471
"e1","S2","Com03","Methylobacterium","14dpi","3",12570000,7.09933527768596
"e1","S2","Com03","Methylobacterium","14dpi","4",6240000,6.79518458968242
"e1","S2","Com05","Methylobacterium","07dpi","1",19140000,7.28194193344082
"e1","S2","Com05","Methylobacterium","07dpi","2",35310000,7.5478977175631
"e1","S2","Com05","Methylobacterium","07dpi","3",36670000,7.5643109099606
"e1","S2","Com05","Methylobacterium","07dpi","4",28600000,7.45636603312904
"e1","S2","Com05","Methylobacterium","14dpi","1",226300000,8.35468455395473
"e1","S2","Com05","Methylobacterium","14dpi","2",156700000,8.19506899646859
"e1","S2","Com05","Methylobacterium","14dpi","3",97400000,7.98855895687862
"e1","S2","Com05","Methylobacterium","14dpi","4",181120000,8.25796640950818
"e1","S2","Com06","Methylobacterium","07dpi","1",10400000,7.01703333929878
"e1","S2","Com06","Methylobacterium","07dpi","2",8760000,6.94250410616808
"e1","S2","Com06","Methylobacterium","07dpi","3",5260000,6.72098574415374
"e1","S2","Com06","Methylobacterium","07dpi","4",15800000,7.19865708695442
"e1","S2","Com06","Methylobacterium","14dpi","1",6.8e+07,7.83250891270624
"e1","S2","Com06","Methylobacterium","14dpi","2",2.67e+08,8.42651126136458
"e1","S2","Com06","Methylobacterium","14dpi","3",2.28e+08,8.35793484700045
"e1","S2","Com06","Methylobacterium","14dpi","4",1.03e+08,8.01283722470517
"e1","S2","Com06","Sphingomonas","07dpi","1",21500000,7.3324384599156
"e1","S2","Com06","Sphingomonas","07dpi","2",8360000,6.92220627743902
"e1","S2","Com06","Sphingomonas","07dpi","3",60500000,7.78175537465247
"e1","S2","Com06","Sphingomonas","07dpi","4",43600000,7.63948648926859
