"exp","dpi","synID","comID","syncom","rep","nFOV","sumCell","avCell"
"e1","07dpi","C","Com01","C.01",1,25,34761,1390.44
"e1","07dpi","C","Com01","C.01",2,66,34587,524.045454545455
"e1","07dpi","C","Com01","C.01",3,90,30764,341.822222222222
"e1","07dpi","C","Com04","C.04",1,55,27429,498.709090909091
"e1","07dpi","C","Com04","C.04",2,101,24751,245.059405940594
"e1","07dpi","C","Com04","C.04",3,148,18100,122.297297297297
"e1","07dpi","C","Com04","C.04",4,203,18389,90.5862068965517
"e1","07dpi","C","Com07","C.07",1,90,55751,619.455555555556
"e1","07dpi","C","Com07","C.07",2,142,46906,330.323943661972
"e1","07dpi","C","Com07","C.07",3,224,17540,78.3035714285714
"e1","07dpi","C","Com07","C.07",4,296,22308,75.3648648648649
"e1","07dpi","C","Com10","C.10",1,47,22673,482.404255319149
"e1","07dpi","C","Com10","C.10",2,99,19195,193.888888888889
"e1","07dpi","C","Com10","C.10",3,149,6013,40.3557046979866
"e1","07dpi","C","Com10","C.10",4,192,7945,41.3802083333333
"e1","07dpi","C","Com13","C.13",1,53,12462,235.132075471698
"e1","07dpi","C","Com13","C.13",2,99,22334,225.59595959596
"e1","07dpi","C","Com13","C.13",3,154,5627,36.538961038961
"e1","07dpi","C","Com13","C.13",4,210,8689,41.3761904761905
"e1","07dpi","S2","Com02","S2.02",1,64,32542,508.46875
"e1","07dpi","S2","Com02","S2.02",2,156,58183,372.967948717949
"e1","07dpi","S2","Com02","S2.02",3,203,7179,35.3645320197044
"e1","07dpi","S2","Com02","S2.02",4,253,11349,44.8577075098814
"e1","07dpi","S2","Com03","S2.03",1,54,18706,346.407407407407
"e1","07dpi","S2","Com03","S2.03",2,104,20369,195.855769230769
"e1","07dpi","S2","Com03","S2.03",3,126,4782,37.9523809523809
"e1","07dpi","S2","Com03","S2.03",4,143,4892,34.2097902097902
"e1","07dpi","S2","Com05","S2.05",1,44,11824,268.727272727273
"e1","07dpi","S2","Com05","S2.05",2,104,31612,303.961538461538
