"","syncom","strain","dpi","r","type","fraction"
"1","C.01","meL85","07dpi",0,"aggregate_fraction",0
"2","C.01","meL85","07dpi",0,"regular_fraction",0
"3","C.01","meL85","07dpi",0,"random_fraction",0
"4","C.01","meL85","07dpi",0.2,"aggregate_fraction",0.0178571428571429
"5","C.01","meL85","07dpi",0.2,"regular_fraction",0.357142857142857
"6","C.01","meL85","07dpi",0.2,"random_fraction",0.625
"7","C.01","meL85","07dpi",0.4,"aggregate_fraction",0.027027027027027
"8","C.01","meL85","07dpi",0.4,"regular_fraction",0.405405405405405
"9","C.01","meL85","07dpi",0.4,"random_fraction",0.567567567567568
"10","C.01","meL85","07dpi",0.6,"aggregate_fraction",0.0240963855421687
"11","C.01","meL85","07dpi",0.6,"regular_fraction",0.518072289156627
"12","C.01","meL85","07dpi",0.6,"random_fraction",0.457831325301205
"13","C.01","meL85","07dpi",0.8,"aggregate_fraction",0.0602409638554217
"14","C.01","meL85","07dpi",0.8,"regular_fraction",0.493975903614458
"15","C.01","meL85","07dpi",0.8,"random_fraction",0.44578313253012
"16","C.01","meL85","07dpi",1,"aggregate_fraction",0.325581395348837
"17","C.01","meL85","07dpi",1,"regular_fraction",0.418604651162791
"18","C.01","meL85","07dpi",1,"random_fraction",0.255813953488372
"19","C.01","meL85","07dpi",1.2,"aggregate_fraction",0.459770114942529
"20","C.01","meL85","07dpi",1.2,"regular_fraction",0.32183908045977
"21","C.01","meL85","07dpi",1.2,"random_fraction",0.218390804597701
"22","C.01","meL85","07dpi",1.4,"aggregate_fraction",0.56043956043956
"23","C.01","meL85","07dpi",1.4,"regular_fraction",0.241758241758242
"24","C.01","meL85","07dpi",1.4,"random_fraction",0.197802197802198
"25","C.01","meL85","07dpi",1.6,"aggregate_fraction",0.652173913043478
"26","C.01","meL85","07dpi",1.6,"regular_fraction",0.152173913043478
"27","C.01","meL85","07dpi",1.6,"random_fraction",0.195652173913043
"28","C.01","meL85","07dpi",1.8,"aggregate_fraction",0.728260869565217
"29","C.01","meL85","07dpi",1.8,"regular_fraction",0.0434782608695652
"30","C.01","meL85","07dpi",1.8,"random_fraction",0.228260869565217
"31","C.01","meL85","07dpi",2,"aggregate_fraction",0.774193548387097
"32","C.01","meL85","07dpi",2,"regular_fraction",0.021505376344086
"33","C.01","meL85","07dpi",2,"random_fraction",0.204301075268817
"34","C.01","meL85","07dpi",2.2,"aggregate_fraction",0.774193548387097
"35","C.01","meL85","07dpi",2.2,"regular_fraction",0.021505376344086
"36","C.01","meL85","07dpi",2.2,"random_fraction",0.204301075268817
"37","C.01","meL85","07dpi",2.4,"aggregate_fraction",0.774193548387097
"38","C.01","meL85","07dpi",2.4,"regular_fraction",0.010752688172043
"39","C.01","meL85","07dpi",2.4,"random_fraction",0.21505376344086
"40","C.01","meL85","07dpi",2.6,"aggregate_fraction",0.763440860215054
"41","C.01","meL85","07dpi",2.6,"regular_fraction",0.010752688172043
"42","C.01","meL85","07dpi",2.6,"random_fraction",0.225806451612903
"43","C.01","meL85","07dpi",2.8,"aggregate_fraction",0.774193548387097
"44","C.01","meL85","07dpi",2.8,"regular_fraction",0.010752688172043
"45","C.01","meL85","07dpi",2.8,"random_fraction",0.21505376344086
"46","C.01","meL85","07dpi",3,"aggregate_fraction",0.806451612903226
"47","C.01","meL85","07dpi",3,"regular_fraction",0.010752688172043
"48","C.01","meL85","07dpi",3,"random_fraction",0.182795698924731
"49","C.01","meL85","07dpi",3.2,"aggregate_fraction",0.838709677419355
"50","C.01","meL85","07dpi",3.2,"regular_fraction",0
"51","C.01","meL85","07dpi",3.2,"random_fraction",0.161290322580645
"52","C.01","meL85","07dpi",3.4,"aggregate_fraction",0.849462365591398
"53","C.01","meL85","07dpi",3.4,"regular_fraction",0
"54","C.01","meL85","07dpi",3.4,"random_fraction",0.150537634408602
"55","C.01","meL85","07dpi",3.6,"aggregate_fraction",0.849462365591398
"56","C.01","meL85","07dpi",3.6,"regular_fraction",0
"57","C.01","meL85","07dpi",3.6,"random_fraction",0.150537634408602
"58","C.01","meL85","07dpi",3.8,"aggregate_fraction",0.838709677419355
"59","C.01","meL85","07dpi",3.8,"regular_fraction",0.010752688172043
"60","C.01","meL85","07dpi",3.8,"random_fraction",0.150537634408602
"61","C.01","meL85","07dpi",4,"aggregate_fraction",0.838709677419355
"62","C.01","meL85","07dpi",4,"regular_fraction",0.010752688172043
"63","C.01","meL85","07dpi",4,"random_fraction",0.150537634408602
"64","C.01","meL85","07dpi",4.2,"aggregate_fraction",0.849462365591398
"65","C.01","meL85","07dpi",4.2,"regular_fraction",0
"66","C.01","meL85","07dpi",4.2,"random_fraction",0.150537634408602
"67","C.01","meL85","07dpi",4.4,"aggregate_fraction",0.838709677419355
"68","C.01","meL85","07dpi",4.4,"regular_fraction",0.010752688172043
"69","C.01","meL85","07dpi",4.4,"random_fraction",0.150537634408602
"70","C.01","meL85","07dpi",4.6,"aggregate_fraction",0.849462365591398
"71","C.01","meL85","07dpi",4.6,"regular_fraction",0.021505376344086
"72","C.01","meL85","07dpi",4.6,"random_fraction",0.129032258064516
"73","C.01","meL85","07dpi",4.8,"aggregate_fraction",0.838709677419355
"74","C.01","meL85","07dpi",4.8,"regular_fraction",0.010752688172043
"75","C.01","meL85","07dpi",4.8,"random_fraction",0.150537634408602
"76","C.01","meL85","07dpi",5,"aggregate_fraction",0.817204301075269
"77","C.01","meL85","07dpi",5,"regular_fraction",0.021505376344086
"78","C.01","meL85","07dpi",5,"random_fraction",0.161290322580645
"79","C.01","meL85","07dpi",5.2,"aggregate_fraction",0.860215053763441
"80","C.01","meL85","07dpi",5.2,"regular_fraction",0.021505376344086
"81","C.01","meL85","07dpi",5.2,"random_fraction",0.118279569892473
"82","C.01","meL85","07dpi",5.4,"aggregate_fraction",0.849462365591398
"83","C.01","meL85","07dpi",5.4,"regular_fraction",0.010752688172043
"84","C.01","meL85","07dpi",5.4,"random_fraction",0.139784946236559
"85","C.01","meL85","07dpi",5.6,"aggregate_fraction",0.806451612903226
"86","C.01","meL85","07dpi",5.6,"regular_fraction",0.010752688172043
"87","C.01","meL85","07dpi",5.6,"random_fraction",0.182795698924731
"88","C.01","meL85","07dpi",5.8,"aggregate_fraction",0.806451612903226
"89","C.01","meL85","07dpi",5.8,"regular_fraction",0.021505376344086
"90","C.01","meL85","07dpi",5.8,"random_fraction",0.172043010752688
"91","C.01","meL85","07dpi",6,"aggregate_fraction",0.806451612903226
"92","C.01","meL85","07dpi",6,"regular_fraction",0.021505376344086
"93","C.01","meL85","07dpi",6,"random_fraction",0.172043010752688
"94","C.01","meL85","07dpi",6.2,"aggregate_fraction",0.78494623655914
"95","C.01","meL85","07dpi",6.2,"regular_fraction",0.021505376344086
"96","C.01","meL85","07dpi",6.2,"random_fraction",0.193548387096774
"97","C.01","meL85","07dpi",6.4,"aggregate_fraction",0.774193548387097
"98","C.01","meL85","07dpi",6.4,"regular_fraction",0.021505376344086
"99","C.01","meL85","07dpi",6.4,"random_fraction",0.204301075268817
"100","C.01","meL85","07dpi",6.6,"aggregate_fraction",0.774193548387097
"101","C.01","meL85","07dpi",6.6,"regular_fraction",0.021505376344086
"102","C.01","meL85","07dpi",6.6,"random_fraction",0.204301075268817
"103","C.01","meL85","07dpi",6.8,"aggregate_fraction",0.763440860215054
"104","C.01","meL85","07dpi",6.8,"regular_fraction",0.032258064516129
"105","C.01","meL85","07dpi",6.8,"random_fraction",0.204301075268817
"106","C.01","meL85","07dpi",7,"aggregate_fraction",0.763440860215054
"107","C.01","meL85","07dpi",7,"regular_fraction",0.032258064516129
"108","C.01","meL85","07dpi",7,"random_fraction",0.204301075268817
"109","C.01","meL85","07dpi",7.2,"aggregate_fraction",0.752688172043011
"110","C.01","meL85","07dpi",7.2,"regular_fraction",0.032258064516129
"111","C.01","meL85","07dpi",7.2,"random_fraction",0.21505376344086
"112","C.01","meL85","07dpi",7.4,"aggregate_fraction",0.763440860215054
"113","C.01","meL85","07dpi",7.4,"regular_fraction",0.032258064516129
"114","C.01","meL85","07dpi",7.4,"random_fraction",0.204301075268817
"115","C.01","meL85","07dpi",7.6,"aggregate_fraction",0.78494623655914
"116","C.01","meL85","07dpi",7.6,"regular_fraction",0.032258064516129
"117","C.01","meL85","07dpi",7.6,"random_fraction",0.182795698924731
"118","C.01","meL85","07dpi",7.8,"aggregate_fraction",0.741935483870968
"119","C.01","meL85","07dpi",7.8,"regular_fraction",0.032258064516129
"120","C.01","meL85","07dpi",7.8,"random_fraction",0.225806451612903
"121","C.01","meL85","07dpi",8,"aggregate_fraction",0.752688172043011
"122","C.01","meL85","07dpi",8,"regular_fraction",0.032258064516129
"123","C.01","meL85","07dpi",8,"random_fraction",0.21505376344086
"124","C.01","meL85","07dpi",8.2,"aggregate_fraction",0.763440860215054
"125","C.01","meL85","07dpi",8.2,"regular_fraction",0.032258064516129
"126","C.01","meL85","07dpi",8.2,"random_fraction",0.204301075268817
"127","C.01","meL85","07dpi",8.4,"aggregate_fraction",0.731182795698925
"128","C.01","meL85","07dpi",8.4,"regular_fraction",0.032258064516129
"129","C.01","meL85","07dpi",8.4,"random_fraction",0.236559139784946
"130","C.01","meL85","07dpi",8.6,"aggregate_fraction",0.688172043010753
"131","C.01","meL85","07dpi",8.6,"regular_fraction",0.043010752688172
"132","C.01","meL85","07dpi",8.6,"random_fraction",0.268817204301075
"133","C.01","meL85","07dpi",8.8,"aggregate_fraction",0.67741935483871
"134","C.01","meL85","07dpi",8.8,"regular_fraction",0.043010752688172
"135","C.01","meL85","07dpi",8.8,"random_fraction",0.279569892473118
"136","C.01","meL85","07dpi",9,"aggregate_fraction",0.67741935483871
"137","C.01","meL85","07dpi",9,"regular_fraction",0.043010752688172
"138","C.01","meL85","07dpi",9,"random_fraction",0.279569892473118
"139","C.01","meL85","07dpi",9.2,"aggregate_fraction",0.645161290322581
"140","C.01","meL85","07dpi",9.2,"regular_fraction",0.043010752688172
"141","C.01","meL85","07dpi",9.2,"random_fraction",0.311827956989247
"142","C.01","meL85","07dpi",9.4,"aggregate_fraction",0.67741935483871
"143","C.01","meL85","07dpi",9.4,"regular_fraction",0.0645161290322581
"144","C.01","meL85","07dpi",9.4,"random_fraction",0.258064516129032
"145","C.01","meL85","07dpi",9.6,"aggregate_fraction",0.666666666666667
"146","C.01","meL85","07dpi",9.6,"regular_fraction",0.0645161290322581
"147","C.01","meL85","07dpi",9.6,"random_fraction",0.268817204301075
"148","C.01","meL85","07dpi",9.8,"aggregate_fraction",0.634408602150538
"149","C.01","meL85","07dpi",9.8,"regular_fraction",0.0645161290322581
"150","C.01","meL85","07dpi",9.8,"random_fraction",0.301075268817204
"151","C.01","meL85","07dpi",10,"aggregate_fraction",0.634408602150538
"152","C.01","meL85","07dpi",10,"regular_fraction",0.0860215053763441
"153","C.01","meL85","07dpi",10,"random_fraction",0.279569892473118
"154","C.01","meL85","07dpi",10.2,"aggregate_fraction",0.634408602150538
"155","C.01","meL85","07dpi",10.2,"regular_fraction",0.0967741935483871
"156","C.01","meL85","07dpi",10.2,"random_fraction",0.268817204301075
"157","C.01","meL85","07dpi",10.4,"aggregate_fraction",0.602150537634409
"158","C.01","meL85","07dpi",10.4,"regular_fraction",0.0967741935483871
"159","C.01","meL85","07dpi",10.4,"random_fraction",0.301075268817204
"160","C.01","meL85","07dpi",10.6,"aggregate_fraction",0.602150537634409
"161","C.01","meL85","07dpi",10.6,"regular_fraction",0.0967741935483871
"162","C.01","meL85","07dpi",10.6,"random_fraction",0.301075268817204
"163","C.01","meL85","07dpi",10.8,"aggregate_fraction",0.56989247311828
"164","C.01","meL85","07dpi",10.8,"regular_fraction",0.0967741935483871
"165","C.01","meL85","07dpi",10.8,"random_fraction",0.333333333333333
"166","C.01","meL85","07dpi",11,"aggregate_fraction",0.559139784946237
"167","C.01","meL85","07dpi",11,"regular_fraction",0.10752688172043
"168","C.01","meL85","07dpi",11,"random_fraction",0.333333333333333
"169","C.01","meL85","07dpi",11.2,"aggregate_fraction",0.537634408602151
"170","C.01","meL85","07dpi",11.2,"regular_fraction",0.118279569892473
"171","C.01","meL85","07dpi",11.2,"random_fraction",0.344086021505376
"172","C.01","meL85","07dpi",11.4,"aggregate_fraction",0.526881720430108
"173","C.01","meL85","07dpi",11.4,"regular_fraction",0.118279569892473
"174","C.01","meL85","07dpi",11.4,"random_fraction",0.354838709677419
"175","C.01","meL85","07dpi",11.6,"aggregate_fraction",0.516129032258065
"176","C.01","meL85","07dpi",11.6,"regular_fraction",0.129032258064516
"177","C.01","meL85","07dpi",11.6,"random_fraction",0.354838709677419
"178","C.01","meL85","07dpi",11.8,"aggregate_fraction",0.526881720430108
"179","C.01","meL85","07dpi",11.8,"regular_fraction",0.150537634408602
"180","C.01","meL85","07dpi",11.8,"random_fraction",0.32258064516129
"181","C.01","meL85","07dpi",12,"aggregate_fraction",0.505376344086022
"182","C.01","meL85","07dpi",12,"regular_fraction",0.161290322580645
"183","C.01","meL85","07dpi",12,"random_fraction",0.333333333333333
"184","C.01","meL85","07dpi",12.2,"aggregate_fraction",0.473118279569892
"185","C.01","meL85","07dpi",12.2,"regular_fraction",0.193548387096774
"186","C.01","meL85","07dpi",12.2,"random_fraction",0.333333333333333
"187","C.01","meL85","07dpi",12.4,"aggregate_fraction",0.473118279569892
